Churn;Gender;SeniorCitizen;Partner;Dependents;Tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;DailyCharges;MonthlyCharges;AvgServiceCost;TotalCharges;ServiceCount;TenureGroup;Churn_binary
Yes;Male;Yes;No;No;2;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;90,85;94,0;31,333333333333332;181,7;3;0–12;1
Yes;Female;Yes;Yes;No;1;Yes;No;Dsl;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;49,55;49,55;24,775;49,55;2;0–12;1
Yes;Male;No;No;No;64;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;One year;Yes;Credit card (automatic);107,86;105,65;21,130000000000003;6903,1;5;61–72;1
No;Male;No;No;Yes;39;No;No;Dsl;No;No;Yes;Yes;Yes;Yes;One year;No;Bank transfer (automatic);56,2;54,85;13,7125;2191,7;4;37–48;0
No;Male;No;Yes;Yes;46;Yes;No;Dsl;Yes;No;Yes;Yes;No;No;One year;No;Mailed check;55,65;56,9;14,225;2560,1;4;37–48;0
Yes;Male;No;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;90,75;90,75;30,25;90,75;3;0–12;1
No;Female;No;Yes;Yes;72;Yes;Yes;Dsl;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);83,15;84,2;14,033333333333333;5986,55;6;61–72;0
No;Female;No;Yes;Yes;33;Yes;No;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);19,43;19,8;19,8;641,35;1;25–36;0
No;Female;No;No;No;32;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);112,75;109,55;18,258333333333333;3608,0;6;25–36;0
No;Female;No;No;No;5;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;20,86;20,5;20,5;104,3;1;0–12;0
Yes;Female;No;No;No;2;No;No;Dsl;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;42,75;45,25;22,625;85,5;2;0–12;1
Yes;Female;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;92,05;80,55;40,275;184,1;2;0–12;1
No;Female;Yes;No;No;17;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);86,47;82,65;41,325;1470,05;2;13–24;0
No;Male;No;No;Yes;5;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);24,4;20,35;20,35;122,0;1;0–12;0
No;Male;No;No;No;10;Yes;Yes;No;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;22,66;24,0;24,0;226,55;1;0–12;0
No;Male;No;No;No;1;Yes;Yes;Dsl;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;50,15;50,15;50,15;50,15;1;0–12;0
No;Female;No;No;No;41;Yes;Yes;Dsl;No;Yes;No;No;No;No;One year;Yes;Credit card (automatic);57,66;56,3;28,15;2364,0;2;37–48;0
Yes;Female;No;No;No;63;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;No;Bank transfer (automatic);97,41;99,9;24,975;6137,0;4;61–72;1
No;Male;No;Yes;Yes;22;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;19,09;20,15;20,15;419,9;1;13–24;0
No;Female;No;No;No;47;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;100,65;103,7;17,283333333333335;4730,6;6;37–48;0
No;Male;No;No;No;65;Yes;Yes;Dsl;No;Yes;Yes;Yes;No;Yes;Two year;Yes;Credit card (automatic);73,93;74,2;14,84;4805,65;5;61–72;0
No;Female;Yes;No;No;8;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);113,57;100,15;25,0375;908,55;4;0–12;0
Yes;Male;No;No;Yes;10;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;93,04;95,2;31,733333333333334;930,4;3;0–12;1
Yes;Female;No;No;No;9;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);79,35;77,65;38,825;714,15;2;0–12;1
No;Male;No;No;No;35;Yes;No;Fiber optic;Yes;No;No;Yes;No;Yes;One year;Yes;Electronic check;92,89;89,2;22,3;3251,3;4;25–36;0
Yes;Male;Yes;No;No;2;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;82,7;74,7;37,35;165,4;2;0–12;1
No;Male;Yes;Yes;No;8;No;No;Dsl;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Mailed check;46,42;43,35;14,450000000000001;371,4;3;0–12;0
No;Male;No;Yes;No;24;No;No;Dsl;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;28,67;29,1;29,1;688,0;1;13–24;0
No;Female;No;No;No;36;No;No;Dsl;Yes;Yes;Yes;Yes;No;Yes;Two year;Yes;Mailed check;52,81;53,1;10,620000000000001;1901,25;5;25–36;0
No;Male;No;Yes;No;67;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);112,94;111,3;18,55;7567,2;6;61–72;0
Yes;Female;Yes;Yes;No;15;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;No;Month-to-month;Yes;Electronic check;83,89;83,05;27,683333333333334;1258,3;3;13–24;1
Yes;Female;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;No;Electronic check;78,05;78,05;39,025;78,05;2;0–12;1
Yes;Male;Yes;Yes;No;24;No;No;Dsl;Yes;No;No;No;No;Yes;Month-to-month;No;Bank transfer (automatic);40,47;39,1;19,55;971,3;2;13–24;1
No;Male;No;No;No;21;No;No;Dsl;No;Yes;No;Yes;No;No;Month-to-month;Yes;Mailed check;37,15;36,0;18,0;780,15;2;13–24;0
No;Female;No;No;No;11;Yes;Yes;Dsl;No;No;No;No;No;Yes;Month-to-month;Yes;Mailed check;54,69;58,95;29,475;601,6;2;0–12;0
No;Female;Yes;No;No;50;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;104,45;104,95;20,990000000000002;5222,35;5;49–60;0
No;Male;No;No;No;13;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;20,78;19,45;19,45;270,2;1;13–24;0
No;Female;No;Yes;Yes;64;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);109,33;110,3;18,383333333333333;6997,3;6;61–72;0
No;Male;No;No;No;3;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;84,6;80,35;40,175;253,8;2;0–12;0
No;Male;No;No;Yes;71;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;One year;Yes;Credit card (automatic);84,91;85,45;28,483333333333334;6028,95;3;61–72;0
No;Female;No;No;No;9;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);26,46;20,15;20,15;238,15;1;0–12;0
No;Female;No;No;No;1;Yes;No;Fiber optic;Yes;Yes;No;Yes;No;No;Month-to-month;Yes;Mailed check;83,4;83,4;20,85;83,4;4;0–12;0
No;Male;No;No;No;3;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;25,65;20,5;20,5;76,95;1;0–12;0
Yes;Male;No;Yes;No;53;No;No;Dsl;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;60,08;60,45;12,09;3184,25;5;49–60;1
No;Female;No;Yes;Yes;46;Yes;No;No;No;No;No;No;No;No;Two year;Yes;Mailed check;20,15;19,95;19,95;927,1;1;37–48;0
No;Male;No;Yes;Yes;63;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);77,72;80,3;26,766666666666666;4896,35;3;61–72;0
No;Male;No;Yes;No;71;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);107,27;108,55;18,091666666666665;7616,0;6;61–72;0
No;Female;Yes;Yes;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;68,32;69,35;69,35;341,6;1;0–12;0
No;Female;No;Yes;Yes;65;Yes;Yes;No;No;No;No;No;No;No;Two year;Yes;Bank transfer (automatic);26,9;25,3;25,3;1748,55;1;61–72;0
No;Male;No;No;No;42;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;100,55;100,3;25,075;4222,95;4;37–48;0
No;Female;No;No;No;3;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;79,37;74,75;37,375;238,1;2;0–12;0
No;Male;No;No;No;24;Yes;No;Dsl;Yes;No;No;Yes;No;No;Month-to-month;No;Electronic check;56,19;54,95;18,316666666666666;1348,5;3;13–24;0
No;Male;No;No;Yes;66;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;20,56;20,55;20,55;1357,1;1;61–72;0
No;Female;No;No;No;25;Yes;No;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);19,01;19,8;19,8;475,2;1;25–36;0
No;Female;No;Yes;Yes;56;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;No;Yes;One year;Yes;Credit card (automatic);100,15;99,75;19,95;5608,4;5;49–60;0
No;Male;Yes;Yes;No;52;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);103,39;105,1;21,02;5376,4;5;49–60;0
No;Female;No;Yes;Yes;23;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Mailed check;26,58;25,1;25,1;611,45;1;13–24;0
No;Female;No;Yes;No;25;Yes;Yes;No;No;No;No;No;No;No;One year;Yes;Mailed check;29,34;26,8;26,8;733,55;1;25–36;0
No;Female;No;No;No;32;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;104,22;101,35;25,3375;3334,9;4;25–36;0
Yes;Female;No;No;No;16;Yes;No;Dsl;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;47,64;50,15;25,075;762,25;2;13–24;1
No;Female;Yes;Yes;Yes;23;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);92,63;88,45;22,1125;2130,55;4;13–24;0
No;Male;No;No;No;26;No;No;Dsl;Yes;No;No;Yes;Yes;Yes;One year;No;Credit card (automatic);52,42;54,55;13,6375;1362,85;4;25–36;0
No;Female;No;Yes;No;49;Yes;No;No;No;No;No;No;No;No;One year;Yes;Bank transfer (automatic);18,84;20,05;20,05;923,1;1;49–60;0
No;Male;No;No;Yes;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;20,05;20,05;20,05;20,05;1;0–12;0
Yes;Male;Yes;No;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;66,38;70,25;70,25;331,9;1;0–12;1
No;Female;No;No;No;50;Yes;No;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);20,48;19,4;19,4;1023,95;1;49–60;0
Yes;Male;No;No;No;13;No;No;Dsl;Yes;No;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);45,92;45,55;15,183333333333332;597,0;3;13–24;1
No;Female;No;Yes;Yes;28;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;19,39;19,9;19,9;543,0;1;25–36;0
No;Female;No;No;Yes;49;Yes;No;No;No;No;No;No;No;No;One year;No;Credit card (automatic);18,8;19,45;19,45;921,3;1;49–60;0
No;Female;No;No;No;18;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);93,3;95,05;23,7625;1679,4;4;13–24;0
No;Female;No;Yes;Yes;72;Yes;Yes;Dsl;Yes;No;Yes;No;Yes;No;Two year;Yes;Bank transfer (automatic);69,8;71,45;17,8625;5025,85;4;61–72;0
No;Female;No;Yes;Yes;37;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;89,57;95,25;31,75;3314,15;3;37–48;0
No;Male;Yes;Yes;No;7;No;No;Dsl;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);31,49;29,8;29,8;220,45;1;0–12;0
No;Male;No;Yes;No;45;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;No;Bank transfer (automatic);83,91;81,4;40,7;3775,85;2;37–48;0
No;Male;No;No;No;19;Yes;No;Dsl;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);45,57;45,0;45,0;865,85;1;13–24;0
No;Male;No;No;No;29;Yes;No;No;No;No;No;No;No;No;One year;Yes;Mailed check;19,73;19,8;19,8;572,2;1;25–36;0
No;Male;No;Yes;Yes;61;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;No;Credit card (automatic);105,72;103,9;17,316666666666666;6449,15;6;61–72;0
No;Male;No;No;No;4;Yes;No;Dsl;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;49,94;45,9;45,9;199,75;1;0–12;0
No;Female;No;No;No;38;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;104,96;103,65;20,73;3988,5;5;37–48;0
No;Female;No;No;No;2;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Electronic check;28,7;19,9;19,9;57,4;1;0–12;0
Yes;Male;No;No;No;1;Yes;No;Dsl;No;No;No;No;No;No;Month-to-month;No;Mailed check;45,05;45,05;45,05;45,05;1;0–12;1
No;Female;No;No;No;15;No;No;Dsl;Yes;Yes;Yes;Yes;No;No;One year;No;Mailed check;46,23;45,9;11,475;693,45;4;13–24;0
Yes;Male;No;No;No;71;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;106,09;108,05;18,008333333333333;7532,15;6;61–72;1
Yes;Male;No;Yes;No;52;Yes;No;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;No;Electronic check;83,63;84,1;28,03333333333333;4348,65;3;49–60;1
Yes;Female;No;No;No;2;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;19,35;20,65;20,65;38,7;1;0–12;1
Yes;Male;Yes;Yes;No;24;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;92,96;93,15;23,2875;2231,05;4;13–24;1
No;Male;No;No;No;43;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);73,52;75,35;75,35;3161,4;1;37–48;0
Yes;Male;No;No;No;2;Yes;No;Dsl;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);40,17;46,05;46,05;80,35;1;0–12;1
No;Male;No;No;No;24;Yes;No;Dsl;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;50,76;49,7;24,85;1218,25;2;13–24;0
Yes;Male;Yes;Yes;No;41;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;103,89;99,8;24,95;4259,3;4;37–48;1
Yes;Female;No;Yes;Yes;14;Yes;Yes;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;89,9;87,25;29,083333333333332;1258,6;3;13–24;1
No;Female;No;Yes;No;64;Yes;No;Dsl;No;Yes;Yes;Yes;No;Yes;Two year;Yes;Mailed check;68,42;68,3;13,66;4378,8;5;61–72;0
No;Male;No;Yes;Yes;72;Yes;No;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);18,93;19,4;19,4;1363,25;1;61–72;0
No;Female;No;No;No;27;Yes;No;Dsl;No;Yes;No;Yes;No;No;Month-to-month;Yes;Mailed check;53,31;56,15;18,716666666666665;1439,35;3;25–36;0
No;Male;Yes;No;No;35;Yes;No;Dsl;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;70,61;73,0;14,6;2471,25;5;25–36;0
No;Male;No;No;Yes;1;Yes;No;Dsl;No;No;No;Yes;No;Yes;Month-to-month;Yes;Mailed check;59,55;59,55;19,849999999999998;59,55;3;0–12;0
Yes;Female;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;68,65;68,65;68,65;68,65;1;0–12;1
Yes;Male;Yes;No;No;43;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;89,69;89,55;29,849999999999998;3856,75;3;37–48;1
No;Female;Yes;Yes;No;53;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;One year;Yes;Credit card (automatic);94,65;95,85;31,95;5016,25;3;49–60;0
Yes;Female;No;No;Yes;17;Yes;Yes;Dsl;No;No;Yes;No;No;No;One year;Yes;Mailed check;55,15;55,85;27,925;937,5;2;13–24;1
Yes;Female;Yes;No;No;20;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);86,38;85,8;42,9;1727,5;2;13–24;1
No;Male;No;No;No;6;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;20,73;19,15;19,15;124,4;1;0–12;0
No;Male;No;No;Yes;1;No;No;Dsl;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;24,7;24,7;;24,7;0;0–12;0
No;Female;No;No;No;61;Yes;Yes;Dsl;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Electronic check;87,03;89,65;12,807142857142859;5308,7;7;61–72;0
Yes;Female;Yes;No;No;4;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;86,55;89,2;29,733333333333334;346,2;3;0–12;1
No;Female;No;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;19,55;19,55;19,55;19,55;1;0–12;0
Yes;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;80,5;80,5;40,25;80,5;2;0–12;1
No;Female;No;Yes;Yes;68;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;One year;Yes;Bank transfer (automatic);84,31;83,65;27,883333333333336;5733,4;3;61–72;0
Yes;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;79,25;79,25;39,625;79,25;2;0–12;1
Yes;Female;No;No;No;2;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Mailed check;77,9;80,6;40,3;155,8;2;0–12;1
Yes;Female;No;No;No;45;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);89,26;89,3;29,766666666666666;4016,85;3;37–48;1
Yes;Female;No;Yes;Yes;40;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;No;Month-to-month;Yes;Electronic check;82,58;84,85;28,28333333333333;3303,05;3;37–48;1
No;Female;No;No;No;34;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;106,91;105,1;17,516666666666666;3634,8;6;25–36;0
No;Female;No;No;No;13;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;93,51;85,95;42,975;1215,65;2;13–24;0
Yes;Female;No;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;20,25;20,25;20,25;20,25;1;0–12;1
No;Female;No;Yes;Yes;35;No;No;Dsl;No;No;No;Yes;Yes;No;One year;No;Mailed check;39,53;40,9;20,45;1383,6;2;25–36;0
No;Male;No;Yes;Yes;35;Yes;No;No;No;No;No;No;No;No;One year;No;Electronic check;19,03;19,9;19,9;666,0;1;25–36;0
No;Male;Yes;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;No;Yes;Two year;Yes;Credit card (automatic);104,87;102,65;20,53;7550,3;5;61–72;0
No;Male;Yes;Yes;No;2;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;70,05;74,2;37,1;140,1;2;0–12;0
No;Female;No;No;No;12;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);18,95;19,45;19,45;227,45;1;0–12;0
No;Male;No;Yes;Yes;69;Yes;No;Dsl;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);78,09;75,75;12,625;5388,15;6;61–72;0
No;Male;Yes;No;No;57;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);103,75;104,9;20,98;5913,95;5;49–60;0
Yes;Female;No;Yes;No;35;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,04;70,3;70,3;2416,55;1;25–36;1
No;Male;No;Yes;Yes;69;Yes;Yes;Dsl;Yes;No;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);89,77;86,9;14,483333333333334;6194,1;6;61–72;0
Yes;Female;No;Yes;No;63;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;109,11;107,5;21,5;6873,75;5;61–72;1
No;Female;No;No;Yes;41;Yes;No;Dsl;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);44,92;45,2;45,2;1841,9;1;37–48;0
No;Female;No;Yes;Yes;47;Yes;No;No;No;No;No;No;No;No;Two year;Yes;Bank transfer (automatic);22,17;21,3;21,3;1041,8;1;37–48;0
Yes;Male;No;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);120,62;117,8;16,82857142857143;8684,8;7;61–72;1
No;Female;No;No;No;59;Yes;Yes;Dsl;Yes;Yes;Yes;Yes;No;Yes;One year;No;Credit card (automatic);81,12;79,85;13,308333333333332;4786,1;6;49–60;0
No;Female;No;Yes;Yes;18;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;17,18;19,35;19,35;309,25;1;13–24;0
Yes;Female;No;Yes;No;25;No;No;Dsl;No;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);34,12;34,0;34,0;853,0;1;25–36;1
No;Male;No;Yes;No;40;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;One year;No;Electronic check;78,32;80,8;26,933333333333334;3132,75;3;37–48;0
No;Male;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;73,32;69,8;69,8;146,65;1;0–12;0
Yes;Female;No;Yes;Yes;21;No;No;Dsl;Yes;No;Yes;No;Yes;Yes;One year;Yes;Electronic check;55,1;55,95;13,9875;1157,05;4;13–24;1
No;Male;No;Yes;Yes;68;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;Yes;Credit card (automatic);99,57;101,05;25,2625;6770,5;4;61–72;0
No;Female;Yes;Yes;No;70;Yes;No;No;No;No;No;No;No;No;Two year;Yes;Credit card (automatic);20,89;19,55;19,55;1462,05;1;61–72;0
No;Male;No;Yes;Yes;1;Yes;No;Dsl;No;No;No;No;No;No;Month-to-month;No;Electronic check;44,55;44,55;44,55;44,55;1;0–12;0
No;Female;No;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;Two year;Yes;Bank transfer (automatic);84,06;84,05;28,016666666666666;6052,25;3;61–72;0
No;Female;No;Yes;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);77,4;70,4;70,4;154,8;1;0–12;0
No;Female;No;Yes;Yes;11;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;21,26;20,6;20,6;233,9;1;0–12;0
No;Female;No;Yes;Yes;56;Yes;Yes;No;No;No;No;No;No;No;Two year;Yes;Credit card (automatic);26,23;24,95;24,95;1468,9;1;49–60;0
No;Female;No;No;No;36;No;No;Dsl;No;Yes;No;Yes;No;No;Month-to-month;Yes;Bank transfer (automatic);35,2;34,85;17,425;1267,2;2;25–36;0
No;Male;No;No;No;37;Yes;Yes;Dsl;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);90,77;90,6;12,942857142857141;3358,65;7;37–48;0
Yes;Female;No;Yes;No;39;No;No;Dsl;Yes;No;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;56,01;55,9;13,975;2184,35;4;37–48;1
No;Male;No;No;Yes;18;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);78,15;80,55;40,275;1406,65;2;13–24;0
No;Male;No;No;No;19;Yes;Yes;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;86,94;84,75;28,25;1651,95;3;13–24;0
Yes;Female;No;No;No;4;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);83,4;76,65;38,325;333,6;2;0–12;1
No;Male;No;Yes;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);69,95;69,95;69,95;69,95;1;0–12;0
No;Female;Yes;Yes;No;38;Yes;No;Fiber optic;Yes;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;82,82;83,45;27,816666666666666;3147,15;3;37–48;0
No;Male;No;Yes;No;56;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;One year;Yes;Electronic check;98,48;100,55;25,1375;5514,95;4;49–60;0
No;Female;No;No;No;30;Yes;Yes;Dsl;No;Yes;Yes;No;Yes;No;One year;Yes;Credit card (automatic);67,96;68,95;17,2375;2038,7;4;25–36;0
No;Male;No;Yes;Yes;72;Yes;Yes;Dsl;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);90,3;88,7;12,671428571428573;6501,35;7;61–72;0
No;Female;No;No;No;8;Yes;No;No;No;No;No;No;No;No;One year;Yes;Bank transfer (automatic);17,62;20,2;20,2;140,95;1;0–12;0
No;Female;No;Yes;Yes;53;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;Yes;Two year;Yes;Bank transfer (automatic);105,03;104,05;17,341666666666665;5566,4;6;49–60;0
No;Male;No;Yes;No;46;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;One year;Yes;Electronic check;93,75;94,65;23,6625;4312,5;4;37–48;0
No;Female;No;No;No;6;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;18,79;20,7;20,7;112,75;1;0–12;0
Yes;Female;No;Yes;Yes;8;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;97,16;94,2;23,55;777,3;4;0–12;1
Yes;Female;No;Yes;No;56;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;98,36;98,25;24,5625;5508,35;4;49–60;1
Yes;Female;No;No;No;31;Yes;Yes;Dsl;Yes;No;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic);64,33;65,25;16,3125;1994,3;4;25–36;1
No;Male;Yes;No;No;13;Yes;No;Dsl;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;60,64;59,9;19,966666666666665;788,35;3;13–24;0
No;Male;No;Yes;Yes;40;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);111,73;110,1;18,349999999999998;4469,1;6;37–48;0
No;Female;Yes;Yes;No;59;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;One year;Yes;Electronic check;92,95;94,05;18,81;5483,9;5;49–60;0
